,0
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,1
3/1/20,1
3/2/20,6
3/3/20,7
3/4/20,11
3/5/20,12
3/6/20,14
3/7/20,17
3/8/20,21
3/9/20,22
3/10/20,28
3/11/20,33
3/12/20,43
3/13/20,51
3/14/20,58
3/15/20,70
3/16/20,97
3/17/20,132
3/18/20,191
3/19/20,265
3/20/20,364
3/21/20,463
3/22/20,573
3/23/20,762
3/24/20,1001
3/25/20,1325
3/26/20,1733
3/27/20,2253
3/28/20,2886
3/29/20,3472
3/30/20,4164
3/31/20,5249
4/1/20,6421
4/2/20,7924
4/3/20,9316
4/4/20,10839
4/5/20,12429
4/6/20,14199
4/7/20,16770
4/8/20,18916
4/9/20,21144
4/10/20,23362
4/11/20,25481
4/12/20,27294
4/13/20,29240
4/14/20,31695
4/15/20,34304
4/16/20,36480
4/17/20,38573
4/18/20,40533
4/19/20,42464
4/20/20,44650
4/21/20,47198
4/22/20,49632
4/23/20,52101
4/24/20,54255
4/25/20,55953
4/26/20,57282
4/27/20,58748
4/28/20,60989
4/29/20,63510
4/30/20,65832
5/1/20,67723
5/2/20,69415
5/3/20,70535
5/4/20,71868
5/5/20,74186
5/6/20,76550
5/7/20,78484
5/8/20,80231
5/9/20,81719
5/10/20,82612
5/11/20,83626
5/12/20,85253
5/13/20,87017
5/14/20,88800
5/15/20,90481
5/16/20,91697
5/17/20,92455
5/18/20,93627
5/19/20,95179
5/20/20,96705
5/21/20,97922
5/22/20,99166
5/23/20,100275
5/24/20,100897
5/25/20,101445
5/26/20,102107
5/27/20,103625
5/28/20,104803
5/29/20,105963
5/30/20,106926
5/31/20,107507
6/1/20,108283
6/2/20,109351
6/3/20,110358
6/4/20,111381
6/5/20,112295
6/6/20,112954
6/7/20,113392
6/8/20,113911
6/9/20,114861
6/10/20,115762
6/11/20,116633
6/12/20,117461
6/13/20,118220
6/14/20,118528
6/15/20,118922
6/16/20,119760
6/17/20,120504
6/18/20,121222
6/19/20,121892
6/20/20,122496
6/21/20,122781
6/22/20,123170
6/23/20,124017
6/24/20,124776
6/25/20,125327
6/26/20,125944
6/27/20,126448
6/28/20,126721
6/29/20,127098
6/30/20,127723
7/1/20,128417
7/2/20,129144
7/3/20,129804
7/4/20,130069
7/5/20,130357
7/6/20,130712
7/7/20,131934
7/8/20,132797
7/9/20,133800
7/10/20,134624
7/11/20,135314
7/12/20,135773
7/13/20,136140
7/14/20,137066
7/15/20,138034
7/16/20,138977
7/17/20,139907
7/18/20,140775
7/19/20,141222
7/20/20,141736
7/21/20,142843
7/22/20,144059
7/23/20,145153
7/24/20,146285
7/25/20,147184
7/26/20,147656
7/27/20,148776
7/28/20,150150
7/29/20,151582
7/30/20,152791
7/31/20,154034
8/1/20,155149
8/2/20,155552
8/3/20,156082
8/4/20,157460
8/5/20,158836
8/6/20,160089
8/7/20,161331
8/8/20,162408
8/9/20,162919
8/10/20,163446
8/11/20,164510
8/12/20,166015
8/13/20,167085
8/14/20,168423
8/15/20,169457
8/16/20,170028
8/17/20,170474
8/18/20,171799
8/19/20,173152
8/20/20,174231
8/21/20,175336
8/22/20,176318
8/23/20,176768
8/24/20,177210
8/25/20,178449
8/26/20,179674
8/27/20,180785
8/28/20,181756
8/29/20,182714
8/30/20,183024
8/31/20,183597
