,0
1/22/20,555
1/23/20,654
1/24/20,941
1/25/20,1434
1/26/20,2118
1/27/20,2927
1/28/20,5578
1/29/20,6166
1/30/20,8234
1/31/20,9927
2/1/20,12038
2/2/20,16787
2/3/20,19887
2/4/20,23898
2/5/20,27643
2/6/20,30802
2/7/20,34334
2/8/20,37068
2/9/20,40095
2/10/20,42633
2/11/20,44675
2/12/20,45053
2/13/20,60206
2/14/20,66690
2/15/20,68765
2/16/20,70879
2/17/20,72815
2/18/20,74609
2/19/20,75030
2/20/20,75577
2/21/20,76206
2/22/20,77967
2/23/20,78290
2/24/20,78854
2/25/20,79707
2/26/20,80670
2/27/20,82034
2/28/20,83411
2/29/20,85306
3/1/20,87690
3/2/20,89664
3/3/20,92241
3/4/20,94540
3/5/20,97331
3/6/20,101274
3/7/20,105312
3/8/20,109266
3/9/20,113166
3/10/20,118190
3/11/20,125853
3/12/20,131603
3/13/20,146010
3/14/20,157118
3/15/20,168267
3/16/20,182934
3/17/20,198781
3/18/20,218371
3/19/20,246290
3/20/20,275900
3/21/20,308209
3/22/20,341629
3/23/20,383796
3/24/20,424963
3/25/20,475782
3/26/20,538679
3/27/20,603079
3/28/20,670733
3/29/20,730310
3/30/20,794952
3/31/20,871362
4/1/20,947569
4/2/20,1028983
4/3/20,1112138
4/4/20,1192601
4/5/20,1264314
4/6/20,1336991
4/7/20,1413859
4/8/20,1497639
4/9/20,1584304
4/10/20,1671899
4/11/20,1748854
4/12/20,1845669
4/13/20,1915342
4/14/20,1985180
4/15/20,2066019
4/16/20,2162705
4/17/20,2250424
4/18/20,2324382
4/19/20,2404886
4/20/20,2478239
4/21/20,2553520
4/22/20,2630306
4/23/20,2719306
4/24/20,2806251
4/25/20,2891189
4/26/20,2964132
4/27/20,3032851
4/28/20,3108157
4/29/20,3185204
4/30/20,3268887
5/1/20,3355942
5/2/20,3437618
5/3/20,3515236
5/4/20,3591337
5/5/20,3671329
5/6/20,3761352
5/7/20,3850437
5/8/20,3941955
5/9/20,4027801
5/10/20,4104047
5/11/20,4180288
5/12/20,4263863
5/13/20,4348639
5/14/20,4445727
5/15/20,4542094
5/16/20,4637516
5/17/20,4716037
5/18/20,4804328
5/19/20,4900721
5/20/20,5003750
5/21/20,5110084
5/22/20,5216984
5/23/20,5322273
5/24/20,5417599
5/25/20,5504562
5/26/20,5597084
5/27/20,5699684
5/28/20,5818998
5/29/20,5940169
5/30/20,6077998
5/31/20,6185556
6/1/20,6280765
6/2/20,6401602
6/3/20,6520925
6/4/20,6647881
6/5/20,6778749
6/6/20,6914702
6/7/20,7026997
6/8/20,7129141
6/9/20,7253512
6/10/20,7387508
6/11/20,7525623
6/12/20,7654745
6/13/20,7790702
6/14/20,7924176
6/15/20,8043814
6/16/20,8185346
6/17/20,8327340
6/18/20,8467345
6/19/20,8648234
6/20/20,8805868
6/21/20,8934482
6/22/20,9071753
6/23/20,9237138
6/24/20,9408373
6/25/20,9586355
6/26/20,9777770
6/27/20,9955942
6/28/20,10117668
6/29/20,10275819
6/30/20,10449638
7/1/20,10667293
7/2/20,10875038
7/3/20,11078605
7/4/20,11272286
7/5/20,11454867
7/6/20,11622210
7/7/20,11833054
7/8/20,12044856
7/9/20,12273083
7/10/20,12505660
7/11/20,12721785
7/12/20,12914440
7/13/20,13107248
7/14/20,13328887
7/15/20,13560006
7/16/20,13812679
7/17/20,14054586
7/18/20,14292221
7/19/20,14506868
7/20/20,14713646
7/21/20,14947269
7/22/20,15227748
7/23/20,15510504
7/24/20,15791669
7/25/20,16047214
7/26/20,16260494
7/27/20,16486948
7/28/20,16739285
7/29/20,17028434
7/30/20,17309084
7/31/20,17599184
8/1/20,17849896
8/2/20,18079002
8/3/20,18281487
8/4/20,18540068
8/5/20,18811232
8/6/20,19096428
8/7/20,19377315
8/8/20,19636785
8/9/20,19860962
8/10/20,20088903
8/11/20,20343467
8/12/20,20620419
8/13/20,20906403
8/14/20,21210852
8/15/20,21458978
8/16/20,21671465
8/17/20,21881137
8/18/20,22136233
8/19/20,22410579
8/20/20,22677762
8/21/20,22948513
8/22/20,23202811
8/23/20,23419697
